name,sport,holiday,talk,meeting,height,personality,indoor,smoking,alcohol,karaoke,fortunetelling,healthcare,outdoor,income,born,location,married,pet,education,job
W01,ヨガ,土日祝日,話すタイプ,積極的,140,外向的,TV感想,吸う,飲む,好き,信じる,意識して運動する,海,300,1995,東京都,無し,犬派,義務教育,公務員
W02,サッカー,土日祝日,話すタイプ,消極的,150,外向的,ゲーム,吸わない,飲まない,好き,信じない,特に意識していない,山,500,1994,栃木県,無し,猫派,高等学校,会社員
W03,バレーボール,不定期,聞くタイプ,とちらでもない,160,内向的,寝る,吸う,飲む,好き,信じる,意識して運動する,川,600,1993,群馬県,無し,犬派,各種専門学校,自営業
W04,バスケットボール,土日祝日,話すタイプ,積極的,170,外向的,読書,吸わない,飲む,好き,信じない,意識して運動する,公園,500,1992,埼玉県,無し,猫派,短大・高専,企業経営・役員
W05,テーブルテニス,土日祝日,話すタイプ,消極的,150,外向的,映画感想,吸わない,飲む,好き,信じる,意識して運動する,遊園地,400,1991,千葉県,無し,犬派,大学,教師
W06,散歩,土日祝日,とちらでも良い,消極的,150,外向的,映画感想,吸わない,飲む,嫌い,信じる,意識して運動する,公園,400,1991,千葉県,無し,犬派,大学,自営業
W07,ヨガ,土日祝日,とちらでも良い,とちらでもない,160,内向的,音楽感想,吸わない,飲まない,嫌い,信じない,特に意識していない,どちらでもいい,300,1990,東京都,有り,猫派,大学院,医師
W08,散歩,平日,聞くタイプ,積極的,150,外向的,ゲーム,吸う,飲む,好き,信じる,意識して運動する,海,600,1989,神奈川県,無し,犬派,高等学校,医療関係
W09,その他,土日祝日,話すタイプ,消極的,160,内向的,読書,吸わない,飲む,好き,信じない,意識して運動する,山,500,1988,新潟県,無し,猫派,高等学校,保育士
W10,その他,土日祝日,話すタイプ,消極的,170,外向的,映画感想,吸わない,飲む,好き,信じる,意識して運動する,海,400,1987,東京都,無し,猫派,各種専門学校,農林・漁業
W11,ヨガ,平日,聞くタイプ,とちらでもない,150,内向的,音楽感想,吸わない,飲まない,嫌い,信じない,特に意識していない,公園,300,1986,東京都,無し,犬派,短大・高専,公務員
W12,バレーボール,土日祝日,話すタイプ,積極的,160,外向的,TV感想,吸わない,飲む,好き,信じる,意識して運動する,遊園地,600,1985,群馬県,無し,猫派,大学,会社員
W13,バスケットボール,不定期,とちらでも良い,消極的,150,外向的,ゲーム,吸わない,飲む,好き,信じない,意識して運動する,海,700,1984,埼玉県,無し,犬派,大学,自営業
W14,野球,土日祝日,話すタイプ,とちらでもない,160,内向的,寝る,吸う,飲む,好き,信じない,特に意識していない,海,400,1983,神奈川県,有り,猫派,大学,企業経営・役員
W15,バレーボール,平日,話すタイプ,積極的,170,外向的,読書,吸わない,飲まない,好き,信じる,意識して運動する,海,500,1982,新潟県,無し,犬派,高等学校,教師
W16,バレーボール,土日祝日,とちらでも良い,消極的,140,内向的,映画感想,吸わない,飲む,好き,信じない,意識して運動する,山,300,1981,東京都,有り,猫派,各種専門学校,医師
W17,バスケットボール,土日祝日,聞くタイプ,とちらでもない,150,外向的,音楽感想,吸わない,飲む,好き,信じない,特に意識していない,川,700,1980,神奈川県,無し,犬派,短大・高専,医療関係
W18,テーブルテニス,平日,話すタイプ,積極的,160,内向的,TV感想,吸う,飲む,好き,信じる,意識して運動する,海,400,1979,東京都,有り,猫派,大学,保育士
W19,ヨガ,土日祝日,話すタイプ,消極的,170,内向的,映画感想,吸わない,飲まない,嫌い,信じない,特に意識していない,海,300,1978,千葉県,無し,犬派,高等学校,農林・漁業
W20,散歩,土日祝日,話すタイプ,とちらでもない,180,外向的,音楽感想,吸わない,飲む,好き,信じる,意識して運動する,海,600,1977,東京都,無し,猫派,各種専門学校,パート・アルバイト
W21,その他,土日祝日,とちらでも良い,積極的,150,内向的,寝る,吸わない,飲まない,好き,信じない,特に意識していない,海,700,1976,千葉県,無し,犬派,短大・高専,学生
W22,野球,土日祝日,聞くタイプ,消極的,160,外向的,音楽感想,吸う,飲む,好き,信じない,意識して運動する,山,300,1984,東京都,有り,猫派,大学,公務員
W23,バレーボール,土日祝日,話すタイプ,とちらでもない,170,内向的,TV感想,吸わない,飲む,好き,信じない,特に意識していない,川,500,1983,群馬県,無し,犬派,大学,会社員
W24,バレーボール,平日,とちらでも良い,積極的,140,外向的,ゲーム,吸わない,飲まない,好き,信じる,意識して運動する,海,600,1982,埼玉県,無し,猫派,大学,自営業
W25,バスケットボール,土日祝日,話すタイプ,消極的,150,内向的,寝る,吸う,飲む,嫌い,信じない,意識して運動する,海,500,1981,神奈川県,無し,犬派,高等学校,企業経営・役員
W26,テーブルテニス,土日祝日,話すタイプ,とちらでもない,160,外向的,読書,吸わない,飲む,好き,信じない,特に意識していない,海,400,1980,新潟県,有り,猫派,各種専門学校,教師
W27,ヨガ,土日祝日,とちらでも良い,積極的,160,内向的,映画感想,吸う,飲まない,好き,信じる,意識して運動する,公園,300,1979,東京都,無し,犬派,短大・高専,医師
W28,散歩,平日,聞くタイプ,消極的,170,内向的,音楽感想,吸わない,飲む,好き,信じない,意識して運動する,遊園地,500,1978,神奈川県,無し,猫派,大学,医療関係
W29,その他,不定期,聞くタイプ,とちらでもない,140,外向的,TV感想,吸わない,飲む,好き,信じない,特に意識していない,海,600,1977,東京都,無し,犬派,高等学校,保育士
W30,散歩,不定期,聞くタイプ,積極的,150,外向的,映画感想,吸う,飲まない,好き,信じる,意識して運動する,山,500,1976,千葉県,無し,猫派,大学,農林・漁業
